Karakter,,,,,,,,,,,
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,
SI,Agent,"exhibits warmth, symphaty and understanding in  his/her approach to people. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She typically do not attempt to force his/her ideas on others, and in conflict are likely to yield or be overly flexible. If the conlict are serious, they may withdraw to avoid further conflict rather than work at resolution. ","Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.

Sebagai seorang yang cukup matang, ia juga fleksibel dan bisa beradaptasi dengan cepat di berbagai lingkungan. Ia senang berbicara dengan orang lain, dan mampu menumbuhkan kepercayaan kepada orang lain. ",,,,,,2,1,2,2
SIC,Advocate,"are steady, sociable individuals who strive for positive relationships at work at at home. He/She can tend forward individualism and independence. Once He/She have made up his/her mind, it can be quite difficult to change his/her mind. He/She likes people to support him/her ideas. He/She may take oppoaing sides of a disagreement and leave feeling frustrated if things don't go right away. He/She needs to be accepted as part of a team. Desision can be difficult for him/her, unless their boundaries are very clearly defined.","Ia sensitif terhadap orang-orang yang berada di sekitarnya dan akan melakukan yang terbaik untuk menyenangkan orang tersebut dan menjaga suasana yang harmonis. Ia terampil berkomunikasi dan mampu mempengaruhi orang lain dengan pengetahuan yang dimiliki serta kemampuan menganalisa situasi dan orang lain.

Ia bisa menjadi pemimpin yang dominan apabila parameter tentang otoritasnya didefinisikan dengan jelas. Keputusan yang diambil selalu berusaha untuk menyenangkan semua pihak karena ia tidak menyukai konflik dan konfrontasi, padahal sebenarnya ia mampu menggunakan pendekatan logis. Situasi yang tidak menyenangkan bagi dirinya adalah pada saat ia harus mengevaluasi pekerjaan orang lain sehingga berdampak pada orang yang dievaluasi tersebut.",,,,,,1,1,2,1.335339978
SID,Agent,"exhibits warmth, symphaty and understanding in  his/her approach to people. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She typically do not attempt to force his/her ideas on others, and in conflict are likely to yield or be overly flexible. If the conlict are serious, they may withdraw to avoid further conflict rather than work at resolution. ","Bila dihadapkan pada situasi konflik atau perselisihan, ia tidak berani berkonfrontasi dan menunjukkan sikap pertentangan dengan orang lain karena tidak ingin dinilai negatif oleh orang lain. Biasanya yang dilakukan dalam situasi ini adalah melibatkan orang lain dan meminta orang tersebut untuk turut serta dalam pengambilan keputusan. Seringkali ia mengambil manfaat pribadi dalam setiap tugas yang telah diselesaikan. Ia sangat baik dalam mengerjakan tugas-tugas untuk orang lain padahal tugas tersebut mungkin sebenarnya sulit untuk dikerjakan sendiri. Namun demikian, ia kurang dapat mementukan prioritas dalam bekerja karena waktunya lebih banyak untuk menjalin persahabatan. Ia juga sulit berhadapan dengan hal-hal yang detail, dan merasa tidak nyaman bila diasingkan oleh orang lain.

Sebagai seorang yang cukup matang, ia juga fleksibel dan bisa beradaptasi dengan cepat di berbagai lingkungan. Ia senang berbicara dengan orang lain, dan mampu menumbuhkan kepercayaan kepada orang lain. ",,,,,,2,1,2,2
,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,
,Achiever,"is patient, controlled, and he/she enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then he/she works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ","is successful at many things; his/her calm steady and perseverant character contributes to his/her success.  Tenacious after starting a project, He/She fights hard for |hisher objectives.  Independent and questioning in approach, He/She is thorough and possesses follow-through.  He/She uses logic and analysis to make decisions, and is firm almost to the point of stubbornness after making these decisions.  He/She may be open to other people’s beliefs and opinions but has very strong personal convictions.  If these convictions are challenged, He/She will respond to the challenge and be convincing in He/She justification by utilizing facts.  He/She does not normally initiate conflict, but will rise to the occasion and not back down when |heshe is brought into a conflict and has strong feelings about the outcome. ",,,,,,2,,
,Advocate,"are steady, sociable individuals who strive for positive relationships at work at at home. He/She can tend forward individualism and independence. Once He/She have made up his/her mind, it can be quite difficult to change his/her mind. He/She likes people to support him/her ideas. He/She may take oppoaing sides of a disagreement and leave feeling frustrated if things don't go right away. He/She needs to be accepted as part of a team. Desision can be difficult for him/her, unless their boundaries are very clearly defined.",,,,,,,1,,
,Agent,"exhibits warmth, symphaty and understanding in  his/her approach to people. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She typically do not attempt to force his/her ideas on others, and in conflict are likely to yield or be overly flexible. If the conlict are serious, they may withdraw to avoid further conflict rather than work at resolution. ","is instinctiveteam  player and work best in an environment of acceptance and serenity. He/She possess a casual kind of poise in most social situations. Many people will come to him/her because he/she are seen as good listener. He/She tend to take critism of his/her work as a personal affront. He/She can sometimes be overly tolerant and patient with non-procedures. He/She prefer to deal with people with a people on a personal, intimate basis in a low-pressure situation. He/She needs personal attention and compliments for assignments that are well done.",,,,,,2,,
,Appraiser," focuses on the process.  Others see him as practical and logical.  He tends to be sensitive to criticism, but prefers to internalize his emotions rather than expose them.  He/She likes to clarify expectations before undertaking new projects, because he works hard to meet the standards that are set for him.

A  warm, outgoing person, He/ She enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her  easy to approach and enjoy his easy, open rapport.","prefers to work through problems by analyzing things that worked in the past.  He/She is willing to follow another person's lead if they display adequate ability and if He/She has confidence in their ability.  He/She is someone who is able to lead, if necessary; but usually prefers to wait and see if another person volunteers first.

He/She takes a flexible approach in his dealings with others and he is willing to pursue different avenues to maintain good relationships.  While he/she is patient and will not usually rush, He/She is not afraid to actively seek new solutions if previous methods do not fit the current situation",,,,,,2,,
,Challenger,"enjoys having a high level of interaction with others.  He/She usually finds the ""silver lining"" in a difficult situation, and typically enjoys the thrill of trying new things.  He/She has a gift for influencing those around him and is viewed as an instinctive communicator.  Others find him/her easy to approach, open rapport.

Others see him/her as a versatile person whom they rely upon to break up monotonous or routine situations.  He/She tends to be individualistic, and may sometimes prefer to do things outside of the team.  He/She may even be perceived as ""restless"", since he/she tends to move quickly from one thing to the next.
","is sensitive to problems, and displays a significant amount of creativity in his/her ability to solve them.  He/She can complete significant tasks in very little time due to his strong resolve.  He/She is determined and probably has high intelligence combined with quick reactions.  He/She will examine and pursue all possible avenues when searching for a solution to a problem.  He/She displays a lot of foresightedness in focusing on projects.  Equal striving for correctness, counterbalances his drive for tangible results. He/She tends to be a perfectionist and can vacillate in decision  making while trying to determine the ""best"" choice",,,,,,2,,
,Chancellor,"exhibits a high task-orientation while also enjoying people. They will typically be very good at recruting people for teams or organizations. He/She is friendly and like to invlove others, but he/she also like to see the task done right. Because of his/her desires to do things correctly. he/She sometimes appears domineering and agressive as pressure arises in situation.",,,,,,,1,,
,Contemplator,"exhibits a determination for the quality and completion of tasks. Being analytical and logical, he/she detail oriented and have high standards for himself/herself and others. He/She are very centers on the task at hand and are steady and dependable. He/She selective and analytical in relationships. Thinking processes and work situations, first evaluating the facts and figures. He/She will take his/her time in making decisions for he/she want to be precise. However, he/she also operate with a competitive edge as he/she seeks to accomplish the task.",,,,,,,1,,
,Creative,"is an extremely task-oriented person who is sensitive to problems.   He/She cares more about the task at hand than the people that are around him/her and how their feelings.  He/She is very determined and has an approach to thinking that allows for effective problem solving.  Because of his/her driven nature and desire for tangible results, He/She may come across as unfeeling or even cool and distant.  He/She makes decisions based on facts, not on emotions.  He/She tends to be quiet and does not trust easily. ","has a high intellect and is very analytical.  He/She expects techniques used to be fact-based and rejects ""quick fixes"".  He/She will adhere to commitments, and expects the same of others.  He/She is competitive by nature and will use facts to help him/her win.  Quality is extremely important, and He/She feels that if a job is not done right, it should not be done at all.  Accuracy and precision are imperative in his/her work, and high standards are maintained in his/her personal life as well. ",,,,,,2,,
,Developer," is motivated by his ability to lead groups and influence others around him.  He/She is someone who takes the responsibility of leadership seriously when it is given to him/her, and is typically able to make important decisions without delay.  He/She exudes confidence and others respond to He's/She's natural ability to be a front runner

Recognizing the value of a good relationship, He/She is very patient and caring when relating to others.  He/She is even-paced; and  usually remains calm and relaxed, even in situations that may ruffle some others.  He/She likes the role of a peacemaker, when working through problems, He/She tries to rely on successful strategies that have proven results.","possesses high ego strength and is an individualist with very high standards.  He/She likes to approach issues alone instead of drawing others into the process.  Because he/she possesses a healthy ego, he/she doesn't like to be under another's control; he/she likes to be the ""boss"" and maintains high standard for himself and others.  He/She tends to fear the mundane and look for new challenges. He wants excitement and sometimes jumps into new adventures before thinking them through. He/She can make designs upon people and situations in order to accomplish his goals; he/She likes to win at any cost.",,,,,,2,,
,Director,"focuses on completion of tasks while demonstrating high regard for people.  He/She has the ability to move people and tasks in a forward direction because of his/her forward-thinking and people skills.  Not much for details, He/She tends to focus on overall goals while letting the details go that he/she sees as ""bogging down"" processes.  Energetic and social, He is able to motivate others while still completing |hisher goals.  He/She displays self-confidence and is able to persuade others.  Once his/her mind is made up, he/she persists and perseveres to the end",,,,,,,1,,
,Governor,"is a people-oriented individual who is verbally fluent and loyal.  Decisions are made after the gathering of facts and supportive data.  He/She tends to be sensitive and have high standards.    He/She can be restless; He/She needs to be more direct and less subjective.  He/She needs social recognition and personal attention; He/She gets attached to people easily and immediately.  He/She is friendly, enthusiastic, informal, talkative, and may worry too much about what other people think.  He/She tends to intellectualize on various subjects.  He/She wants to be accepted as a member of the team and likes to know exactly what is expected before He/She starts new projects.  ",,,,,,,1,,
,Inquirer,"calm steady and perseverant character contributes to his/her success.  Tenacious after starting a project, He/She fights hard for his/her objectives.  Independent and questioning in approach, He/She is thorough and possesses follow-through.  He/She uses logic and analysis to make decisions, and is firm almost to the point of stubbornness after making these decisions.  He/She may be open to other people’s beliefs and opinions but has very strong personal convictions.  If these convictions are challenged, he/she will respond to the challenge and be convincing in his/her justification by utilizing facts.  He/She does not normally initiate conflict, but will rise to the occasion and not back down when he/she is brought into a conflict and has strong feelings about the outcome. ","is patient, controlled, and enjoys digging for clues and facts.  He/She is easy going and amiable.  He/She plans his/her work carefully, but aggressively, asking questions and collecting data.  Then He/She works consistently in directed channels.   Being a considerate, modest individual, He/She relates well to most people.   He/She is a consistent, accommodating individual.  His/Her reserved people skills dominate while his/her task-oriented traits are close behind.  He/She enjoys people, but is neither pushy nor gets in the way.   ",,,,,,2,,
,Inspirational,"exhibit a tendency to be strong individualist. He/She is a visionary, progressive and work hard to attain goals. He/She is forceful and direct. He/She is courious and have a wide range of interests. At times, he/she may appear to be cold or blunt because their task-orientation tends to overtake their people-orientation.","place high  standards on hisself/herself and those around him/her, expecting goals to be met. He/She might appear to be critical when these standards are not met. Because he/she can have a strong impact on people and motivate them to achieve their goals. He/She needs to be especially sensitive to others around him/her. He/She constantly moving forward and will get very frustrated ehen there is no goal he/she can strive to achieve.",,,,,,2,,
,Investigator,"is loyal to the leaders he/she supports, and is an excellent person to have on the team.  He/She carefully and consistently works though situations.  He/She tends to show anxiety when put in a situation where he/she feels deserted to make decisions that will affect others.  He/She wants stability and exhibits stability in relationships; he/she needs a protected and secure environment. He/She likes people, but prefers a few close friends to many acquaintances. He/She likes small groups rather than crowds.  He/She is overly sensitive and doesn’t handle criticism well. He/She needs to develop confidence and be more independent.  He/She is very concerned about what people think of him/her and he/she avoids conflict.   ","is kind in nature and is very detail oriented.  He/She is caring about the people around him/her and possesses the qualities that make him/her very meticulous at task completion.  He/She likes to look around carefully before making any decisions and weigh how it will affect people; at times he/she is overly cautious.  If he/she feels someone is taking advantage of a situation, he/she will slow down processes so that he/she can watch what is going on around him/her. ",,,,,,2,,
,Leader,"is a very task oriented person who enjoys people as well.  He/She may be very good at recruiting.  He/She is friendly but likes to see the tasks done right.  He/She may seem domineering and cool sometimes.  He/Shee loses sight of the people and is focusing on the task.   He/She really wants others involved in his/her projects, but he/she may forget about what others want.  He/She needs to listen more and think about what others around him/her may need, especially in times of trial.   He/She must have social approval and in turn |heshe trusts others highly.  Because of this, He/She sometimes overestimates people and their abilities.  He/She can appear inconsistent and flighty due to his/her inability to concentrate and focus for long periods.  He/She needs to learn to really listen to people around him/her instead of always thinking of what he/she is going to say.  He/She has strong logical abilities when he/she utilizes them. ","excellent verbal communication skills, He/She is able to put strangers at ease and make them comfortable.  He/She influences people by his/her people skills and his/her ability to reason and be logical.  He/She seeks a positive, favorable environment and is not afraid to stand up and take charge if necessary.  He/She is not a bystander and is constantly involved.  He/She desires the excitement that comes with new adventures and meeting new people.  He/She may appear opinionated, but his/her main goal is trying to establish harmony and unity between people.  So when he/she is talking and giving his/her opinion and information, it is usually with good intentions. ","can be counted on to carry out any tasks correctly.  He/She wants exact facts and figures before he/she will make a decision; He/She feels uneasy when forced to make a quick decision.  He/She often keeps feelings to himself/herself.  Others may not be aware of his/her strong beliefs.  He/She does not blow up easily, but after a point he/she will make his/her feelings known to everyone.  He/She wants a stable environment that promotes security.  This is true for home and work environments, as the more stable the environment, the happier he/she will be.",,,,,3,,
,Mediator,"wants to be accepted as a member of the team and likes to know exactly what is expected before he/she starts new projects.  He/She is a conscientious person who persuades others through logic and emotion.  He/She needs to be careful not to be overly enthusiastic or too talkative; He/She may get sidetracked and not finish what He/She set out to do.  He/She is very conscious about the quality of his/her work and expects that He/She will receive social approval for his/her ""job well done"".  He/She is sensitive to the people around |himher and will do his/her best to make the environment pleasing for others. He/She has excellent communication skills and can influence people by his/her knowledge of facts and ability to analyze people and situations.  ",,,,,,,1,,
,Motivator,"exhibits an encouraging style when motivated by a goal.    He/She prefers to lead or be in charge, however he/she will also serve as a helper.  He/She may need recognition and appreciation to be happy and fulfilled in a supportive role.  He/She cares about the people around him/her and will consider others’ feelings in his/her decision-making process.  He/She exhibits excellent communication skills and deals well with people.  He/She will strive to accomplish tasks quickly and efficiently.  ",possesses strong problem solving skills and prefers to achieve his/her goals by leading the team through diligence and steadfastness.   He/She is a highly determined and enthusiastic person and will eagerly accept challenges and will work hard for positive outcomes to situations.  People are often drawn to He/She because of his/her ability to listen creatively and communicate effectively.   He/She will often equate failure and rejection; He/She will need affirmation in these situations.,,,,,,2,,
,Objective thinker,"is very practical, proper and discrete.  He/She may be self-evaluating and critical of himsel/herself and others.  He/She enjoys details and logic; He/She is very analytical in nature.  Because He/She internalizes information, He/She analyzes issues over and over again.  He/She tends to be shy and inhibited; He/She makes decisions slowly based on logic, not emotion, asking ""how and why"" questions.  He/She performs in a precise and systematic way.  He/She desires neatness and organization because He/She feels that messiness equates poor quality; likewise, neatness equates high quality.  He/She is very precise in the tasks on which He/She works and how he/she spends his/her time.  He/She plans and organizes all areas of |hisher life.  Tardiness annoy  him/her and disruptions are not tolerated.  ","is sensitive in his/her feelings and perceptions and can be hurt easily.  He/She requires guidelines and slow, deliberate change.  He/She has extremely high standards; He/She  can be a perfectionist and very exact. He/She needs a stable environment.  Because of his/her task orientation, He/She needs to be more sensitive to the people around him/her and to try to be more flexible. 

The analytical way that He/She  approaches issues helps him/her to obtain the goals he/she has set.  He/She  may appear cool and blunt due to his/herr constant analyzing of people and facts.  The best way to convince him/her is through facts; opinions and emotions will not influence him/her at all.  He/She is highly skilled at fact-finding and making decisions based on facts.  By becoming a little more sensitive and adaptable, He/She can be seen as more perceptive to the feelings of others.
",,,,,,2,,
,Perfectionist,"is a systematic thinker who tends to follow procedures in both personal and business life.  Proceeding in an orderly, predetermined manner, he/she is precise and attentive to detail.  He/She acts in a highly tactful, diplomatic fashion and rarely antagonizes his/her associates consciously.  He/She is extremely conscientious, He/She painstakingly requires accuracy in work and maintains high standards.  He/She may tend to get bogged down in details, particularly when decisions must be made.  He/She wants standard operating procedures and no sudden changes.   ","likes a protected and secure environment governed by rules and regulations.  He/She likes people, but prefers a few close friends to many who aren’t as close.  He/She prefers small groups rather than a crowd.  He/She will be correct most of the time due to how precise he/she is.  He/She may be overly sensitive and perhaps doesn’t handle critique well.  He/She may need to develop confidence and be more independent.  He/She tends to be very concerned about what people think of him/her and he/she avoids conflict.   ","can be counted on to carry out any tasks correctly.  He/She wants exact facts and figures before he/she will make a decision; He/She feels uneasy when forced to make a quick decision.  He/She will often keep feelings to himself/herself.  Others may not be aware of his/her strong beliefs.  He/She will not blow up easily, but after a point everyone will know his/her feelings. He/She wants a steady environment, which promotes security.  This is true for home and work environments, as the more stable the environment, the happier he/she will be.",,,,,3,,
,Persuader,"is an integrative leader who works with and through people.  He/She has an outgoing spirit, high interest in people and the ability to gain respect and admiration from varied types of individuals.  He/She does business in a friendly way, while striving to win others to his/her objectives and sell his/her point of view.  He/She can be inattentive to the ""little things"". He/She may act impulsively, may be overly enthusiastic and may oversell.  He/She may overestimate his/her ability to motivate people or change the behavior of others.  He/She seeks freedom from routine, and He/She wants authority as well as prestige.  He/She needs a variety of activities and works more efficiently when analytical data is provided by others.  He/She needs assignments requiring mobility and challenge. ","may have a hard time resting.  He/She may seem as if he/she is nervous or fidgety;  He/She is always in the middle of some activity.   He/She is very optimistic and motivating; |heshe knows how to get results.   He/She is a good communicator and has a true interest in people.   He/She is a good problem solver, but he/she needs to relax and pace |himselfherself.   He/She would do well to remember that he/she does not always have to take the lead position; He/She can be a supporter and a helper also.  He/She needs to relax and learn to try not to control everything and everyone.   He/She wants the people around him/her to communicate efficiently and effectively.   He/She tends to make decisions quickly and is comfortable making high risk determinations.   ",,,,,,2,,
,Practitioner,"wants to be accepted as a member of the team and likes to know exactly what is expected before he/she starts new projects.  He/She is a conscientious person who persuades others through logic and emotion.  He/She may need to be careful not to be overly enthusiastic or too talkative; he/she may get sidetracked and not finish what he/she set out to do.  He/She is very conscious of the quality of his/her work and expects that he/she will receive social approval for his/her ""job well done"".  He/She tends to be sensitive to the people around him/her and will do his/her best to make the environment pleasing for others.  He/She has excellent communication skills and can influence people by his/her knowledge of facts and ability to analyze people and situations.  ",,,,,,,1,,
,Promoter,"exhibit enthusiasm and optimism, He/She accomplish goals through the people. He/She love being around people, and therefor prefer not work alone. He/She became careless and disorganized, his/her communication skills are significantly above average. He/She desires social recognition and fear the loss of acceptance. When a difficult situation arises, he/she most likely to express every last feeling or wuthdraw to an emotionally safe position.",,,,,,,1,,
,Reformer,"is sociable and friendly; He/She also likes to drive situations and be a leader. He/She accomplishes tasks through his/her social skill; He/She is caring and accepting of others.  He/She concentrates on the task at hand until it is completed and will ask others to help him/her if needed.  He/She knows his/her limitations and asks for assistance when needed.  He/She is likable and people ""want"" to help him/her.   He/She is happy to share the credit with the team; he/she is a team player but also a team leader.  He/She desires popularity and recognition.",,,,,,,1,,
,Specialist,"is a consistent individual who works to maintain an unchanging environment.  He/She works well with many of the other personality styles because of |hisher controlled and modest behavior. He/She is patient, loyal and helpful to friends.  Friendships are developed slowly and selectively.  He/She is not bored by routine and works best with guidelines and rules that are clearly spelled out.  He/She may require help and supervision in the initial stages of new projects.  He/She needs time to adjust to changes and are reluctant to let go of the ""old way of doing things"".  He/She will avoid confrontation at almost any cost and will internalize his/her feelings","is very empathetic and sympathetic to people.  He/She is a helpful, dedicated person who likes to be in supportive roles rather than in the forefront.  He/She achieves his/her goals through diligence and steadfastness.  He/She is committed and can be counted on to be there until the end.   

When pushed, He/She can become passively resistant.  He/She uses logic rather than emotion to make decisions.  Once he/she has made a decision, he/she will stick to it, even stubbornly, because much time has gone into the decision making process.  He/She desires security and a calm, steady environment.  He/She has a hard time saying ""no"" to anyone because he/she longs for  ""peace at any cost"".  He/She will be around even in tough times and will stay true through it all.
",,,,,,2,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
