Karakter
PROFIL,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
C,Akurat,Analitis,Hati-hati,Penuh Kesadaran,Menemukan fakta,Ketepatan,Standar tinggi,Sistimatis,,,,8
,Perfectionist," memiliki kemampuan berpikir yang kritis. Pola pikirnya sistimatis dan selalu mengikuti prosedur-prosedur yang berlaku. Ia menekankan pentingnya membuat kesimpulan berdasarkan pada fakta-fakta yang sudah dikumpulkan. Ia bekerja berdasarkan aturan, teliti dan memberikan perhatian kepada hal-hal detail. Karena Ia sangat menekankan pada sistim dan prosedur standar menyebabkan dirinya kurang menyukai adanya perubahan yang tiba-tiba. Sebagai seorang analitis, ia selalu mengidentifikasi, mengevaluasi, dan menguji data-data yang ada dan senang dengan hal-hal atau argumentasi yang logis atau masuk akal. 
"," dalam bekerja selalu menginginkan standar prosedur kerja dan tidak ada perubahan mendadak. Ia senang lingkungan yang aman dengan adanya kejelasan peraturan dan regulasi. Akibatnya ia menjadi kurang kreatif, kurang dapat berimprovisasi dan sulit melihat dari sisi yang lain. Ia tidak suka dikritik, karena ia selalu mengharapkan setiap hasil kerjanya adalah sempurna, tanpa cacat. Kritik baginya tidak hanya serangan terhadap pekerjaannya tetapi  juga dianggap sebagai serangan terhadap pribadinya karena dianggap dirinya tidak bisa memberikan hasil yang sempurna. Ia menjadi tidak nyaman bila harus memutuskan secara cepat, ia juga kurang berani mengekspresikan perasaannya secara terbuka, selalu menahan diri dan penuh kehati-hatian dalam setiap tindakannya."," adalah seorang yang sistimatis dalam berpikir maupun dalam bekerja. Ia selalu mengikuti prosedur dalam setiap aktivitasnya, baik dalam hidup pribadi  maupun dalam bekerja. Ia sangat teliti dan penuh kehati-hatian dalam bekerja sehingga memperhatikan hal-hal detail dan ketepatan. Ia selalu menginginkan kejelasan mengenai apa yang diharapkan, berapa lama waktu yang diperlukan, bagaimana cara mengerjakannya, siapa yang akan mengevaluasi dan seterusnya. Ia akan mengumpulkan berbagai informasi dan data-data penunjang dalam bekerja. Pada dasarnya ia mampu membuat keputusan setelah mendapatkan data-data yang lengkap, meskipun biasanya dikritik orang karena memerlukan waktu yang cukup lama dalam proses pengambilan keputusan tadi. Ia tidak ingin menjadi pusat perhatian tetapi lebih menyukai berada “di bawah layar”.

Dalam bergaul, ia akan sangat hati-hati memilih teman dan biasanya kurang terbuka terhadap orang asing. Ia seringkali menjadi skeptis terhadap apa yang telah orang lain katakan tentang apa yang telah mereka lakukan, hanya saja begitu ada satu orang yang bisa membuktikannya maka ia akan mempercayai orang tersebut dan mau menunjukkan kerja samanya secara lebih dekat. Ia selalu menginginkan standar prosedur dan tidak ada perubahan mendadak. Ia senang lingkungan yang aman dengan kejelasan peraturan dan regulasi. Akibatnya ia menjadi kurang kreatif, kurang dapat berimprovisasi dan sulit melihat dari sisi yang lain, cara meyakinkannya adalah dengan memberikan bukti-bukti dan informasi-informasi yang berkaitan dengan hal tersebut. Ia tidak suka dikritik, karena ia selalu mengharapkan setiap hasil kerjanya adalah sempurna, tanpa cacat. Kritik baginya tidak hanya serangan terhadap pekerjaannya tetapi  juga dianggap sebagai serangan terhadap pribadinya yang tidak bisa memberikan hasil yang sempurna. Ia juga kurang berani mengekspresikan perasaannya secara terbuka, selalu menahan diri dan penuh kehati-hatian dalam setiap tindakannya.","adalah seorang yang sistimatis dalam berpikir maupun dalam bekerja. Ia selalu mengikuti prosedur dalam setiap aktivitasnya, baik dalam hidup pribadi  maupun dalam bekerja. Ia sangat teliti dan penuh kehati-hatian sehingga memperhatikan hal-hal detail dan ketepatan. Ia selalu menginginkan kejelasan mengenai apa yang diharapkan, berapa lama waktu yang diperlukan, bagaimana cara mengerjakannya, siapa yang akan mengevaluasi dan seterusnya. Ia akan mengumpulkan berbagai informasi dan data-data penunjang dalam bekerja. Pada dasarnya ia mampu membuat keputusan setelah mendapatkan data-data yang lengkap, meskipun biasanya dikritik orang karena memerlukan waktu yang cukup lama dalam proses pengambilan keputusan tadi. 

Ia selalu menginginkan standar prosedur kerja yang tetap, tidak ada perubahan mendadak. Ia senang lingkungan yang aman dengan kejelasan peraturan dan regulasi. Akibatnya ia menjadi kurang dapat berimprovisasi dan sulit melihat dari sisi yang lain. Ia tidak suka dikritik, karena ia selalu mengharapkan setiap hasil kerjanya adalah sempurna, tanpa cacat. Kritik baginya tidak hanya serangan terhadap pekerjaannya tetapi juga dianggap sebagai serangan terhadap pribadinya yang dianggap tidak dapat memberikan hasil yang sempurna. Ia juga kurang berani mengekspresikan perasaannya secara terbuka dan selalu menahan diri.

Dalam bergaul, ia akan sangat hati-hati memilih teman dan biasanya kurang terbuka terhadap orang asing. Ia seringkali menjadi skeptis terhadap apa yang telah orang lain katakan tentang apa yang telah mereka lakukan, hanya saja begitu ada satu orang yang bisa membuktikannya maka ia akan mempercayai orang tersebut dan mau menunjukkan kerja samanya secara lebih dekat. Namun demikian, ia lebih nyaman berada dalam beberapa teman dekat daripada banyak orang yang belum dikenalnya","selalu berusaha memberikan hasil kerja yang berkualitas dan juga selalu mengikuti peraturan-peraturan yang berlaku. Ia bekerja dengan hati-hati dan biasanya akan mengumpulkan berbagai informasi atau data-data yang diperlukan sebelum mengambil keputusan.

Sebagai seorang pemikir yang sistematis dan selalu mengikuti aturan dan prosedur, baik dalam kehidupan pribadi maupun dalam lingkungan kerjanya, ia menjadi seorang yang memiliki perencanaan dan perhitungan yang matang dalam bertindak. Ia memiliki prosedur standar yang dipatuhi sehingga segala sesuatu berdasarkan acuan yang telah direncanakan,  akibatnya dirinya menjadi sulit berubah dan merasa terganggu bila ternyata kondisi nyata yang dialami berbeda dengan rencana semula. Nampaknya ia juga terpaku pada hal-hal detail, khususnya pada saat  keputusan harus dibuat.

Ia menjadi sangat sensitif terhadap kritik yang ditujukan kepada dirinya karena ia cenderung menghindari konflik. Dirinya selalu mengharapkan lingkungan kerja yang nyaman, harmonis dan stabil. Ia kurang suka menjadi pusat perhatian, ia lebih banyak melakukan analisa terhadap persoalan-persoalan yang dihadapi daripada menyampaikannya secara verbal. Ia adalah seorang yang hati-hati dan penuh perhitungan.
",,,5
,Persuader," menunjukkan semangat, minat yang tinggi pada orang lain untuk mendapatkan wibawa dan meningkatkan status sosialnya. 
Kemampuan untuk mendapatkan kepercayaan dari orang lain adalah melalui caranya berelasi dan berkomunikasi dengan sangat berkesan. Kemampuan ini sangat membantu dalam memenangkan posisi otoritas, otoritas bagi dirinya dianggap sebagai ""prestige"".","  dalam bekerja nampak aktif, orang melihatnya sebagi seorang yang ekspresif, 'nervous' dan 'restless'. Ia selalu terlibat dalam dalam berbagai aktivitas, seakan mengetahui berbagai hal. Sifatnya optimis dan mengetahui bagaimana memberikan hasil. Ia adalah seorang komunikator yang dapat diandalkan dan orientasinya yang besar kepada manusia. Hanya saja ia tidak selalu ingin mengambil peran sebagai pemimpin namun lebih menyukai peran sebagai anggota yang mendukung dan memberi bantuan. Ia selalu ingin berada diantara orang lain dan mereka melihat apa yang sedang dikerjakannya. Selain itu dirinya mencari pekerjaan untuk selalu terlihat baik. Bekerja bersama dengan orang lain, tugas yang menantang, pekerjaan yang bervariasi dan aktivitas yang menuntut mobilitas adalah  lingkungan kerja yang sangat disukainya. Namun ia seringkali terlalu optimis tentang hasil kerja dan potensi rekan sekerja. Ia juga cenderung terlalu percaya. Ia lebih menginginkan kebebasan dari aturan dan hal-hal rutin."," adalah seorang yang optimis. Ia cepat beradaptasi dengan berbagai situasi dan mudah menyesuaikan diri dengan orang yang baru dikenal. Ia sangat fleksibel dan selalu menunjukkan kehangatan yang mendalam dalam setiap berhubungan dengan orang lain. Ia tidak memberi perintah tetapi melibatkan orang lain kedalam pekerjaan dengan metode persuasi.

Sebagai seorang yang kreatif, ia sangat menyukai tantangan-tantangan baru dan ia biasanya mampu membuat keputusan dengan mudah, meski dalam situasi penuh tekanan.Ia tidak takut untuk mengambil langkah-langkah berani meski harus berhadapan dengan figur-figur otoritas, ia juga akan selalu menantang status kemapanan (status quo). Ia akan selalu menggunakan intuisi dan fakta-fakta saat mengambil keputusan, dan begitu keputusan tersebut diambil, ia berani menanggung segala resikonya.

Kemampuannya dalam berinteraksi dan berkomunikasinya bisa diandalkan, ia bisa menggunakan pengetahuan dan kemampuannya untuk mempengaruhi orang lain. Ia bukan tipe orang yang santai, ia nampak sebagai seorang yang selalu bekerja, dan selalu berada dalam beberapa aktivitas secara bersama-sama. Ia memerlukan waktu untuk rileks dan belajar mengontrol segalanya agar hasilnya menjadi optimal. Ia juga harus mau mendengarkan pendapat orang lain dan kurang teliti terutama dalam mengamati hal-hal detail.","adalah seorang yang terbuka dan optimis. Ia cepat beradaptasi dengan berbagai situasi dan mudah menyesuaikan diri dengan orang yang baru dikenal. Ia sangat fleksibel dan selalu menunjukkan kehangatan yang mendalam dalam setiap berhubungan dengan orang lain.  Ia lebih dianggap sebagai seorang yang asertif  karena bisa bekerja sama dan pandai mengambil hati orang lain, dalam melakukan tugasnya ia akan mempromosikan pekerjaannya tersebut kepada orang lain. Ia tidak memberi perintah tetapi melibatkan orang lain kedalam pekerjaan dengan metode persuasi. 

Ia terampil dalam memancing kerjasama orang-orangsekitarnya dengan memberikan penjelasan mengenai dasar aktivitas yang akan dilakukan. Ia pandai membantu orang lain memperoleh gambaran mengenai langkah-langkah yang sebaiknya diambil, ia bisa memberikan insight bagi orang lain. Biasanya ia berbicara dengan penuh dengan perencanaan terperinci yang sudah dipersiapkan, ia bisa memonitor status perkembangan pekerjaan apakah kemajuannya sesuai dengan rencana semula. Bahkan Ia akan menjadi tidak sabar bilamana standar yang telah ditetapkan tidak dijalankan sebagaimana mestinya. Ia adalah pemikir yang kritis dan seringkali tajam saat mengekspresikan kritiknya secara verbal kepada orang lain.",,,,4
,Practitioner,"  tergolong orang yang teratur dan mudah bergaul dan selalu mengupayakan hubungan positif di tempat kerja dan di rumah. Sabar dan penuh perhatian pada orang lain, ia selalu mengharapkan orang lain menciptakan lingkungan yang harmonis dan penuh kedamaian. Ia cenderung menjadi orang yang mudah diprediksi, menggunakan cara-cara lama yang telah terbukti hasilnya dalam menghadapi situasi baru daripada menggunakan cara-cara baru yang inovatif, karena pendekatannya tersebut belum terbukti. Ia lebih terfokus adalah pada proses , sehingga mampu bekerja secara sistimatis dan detail."," memiliki rasa keadilan dan kesetiaan yang tinggi. Ia selalu berusaha berpikir melalui dua sisi dari satu masalah. Ia juga cenderung berusaha menjadi pendamai dalam situasi konflik, karena mampu melihat dari berbagai sudut pandang yang berbeda, hanya saja upaya perdamaian yang dilakukan lebih terfokus pada orang-orang yang terlibat, bukan hanya pada masalahnya.

Karena dirinya sangat memperhatikan perasaan orang lain, akan menjadi sulit bagi dirinya dalam mengambil keputusan yang memiliki dampak kepada orang lain, dalam kondisi ini biasanya ia akan meminta orang lain untuk ikut terlibat dalam proses menentukan keputusannya tersebut dan lebih senang berperan sebagai anggota tim. Dalam bekerja, kebutuhannya adalah diterima sebagai anggota tim. Ia sulit membuat keputusan bila parameternya tidak jelas. Namun setelah keputusan dibuat, ia akan sangat sulit mengubah keputusannya tersebut. Ia senang pada orang-orang mendukung gagasan dirinya.",,,,,,2
,Promoter," memiliki network yang luas serta menampilkan semangat dan optimisme. Kekuatannya adalah keterampilan beradaptasi dan mudah melakukan sosialisasi. Ia jarang menunjukkan sikap berlawanan dengan orang lain. Ia menyukai berada ditengah-tengah orang dan lebih menikmati pekerjaannya bila bekerja bersama dengan orang banyak. Komunikator yang ulung, ia bisa meyakinkan orang lain akan gagasan-gagasannya, dan selalu menciptakan antusiasme dan semangat kerja tim. Karena bekerja dengan tingkat energi yang tinggi, ia bisa menjadi ceroboh dan tidak teratur."," menunjukkan sikap yang antusias dan optimis, ia akan menyelesaikan tugas melalui orang lain. Senang berada diantara orang banyak, tidak suka menyendiri. Kemampuan komunikasinya sangat dominan.

Karena ia lebih tertarik pada partisipasi dan interaksi dengan orang lain dalam setiap aktivitas, menyebabkan dirinya kurang fokus pada penyelesaian tugas. Ia sangat menyenangi acara rapat, pertemuan, seminar atau konferensi. Ia terlalu percaya kepada kemampuan orang lain tanpa memperlajari terlebih dahulu fakta-fakta sebelumnya. Ia juga seringkali membuat keputusan yang menyenangkan semua pihak. Kekurangannya adalah manajemen waktu dan tugas, ia selalu harus diingatkan mengenai status perkembangan pekerjaan yang harus diselesaikannya.","memiliki keterampilan sangat baik dalam membina relasi dan pandai menyenangkan orang lain. Ia sangat senang berhadapan dengan orang lain dan menikmati kebersamaannya tersebut dengan menyampaikan informasi-informasi yang sangat menarik. Ia juga sangat ingin dilibatkan dalam berbagai aktivitas sosial, karena harapan terbesarnya adalah ingin menjadi populer dalam lingkungannya tersebut.

Ia sangat sabar dan penuh perhatian terhadap orang lain, ia mampu menunjukkan perilakunya sebagai seorang yang selalu memberikan inspirasi dan motivasi terhadap orang lain, ia juga piawai dalam menggunakan kata-kata dan verbalisasinya sangat dominan. Ia bisa berperan sebagai seorang yang memberikan rasa damai terhadap orang-orang yang sedang mengalami tekanan dalam bekerja, dalam bekerja ia selalu merujuk kepada pengalaman-pengalaman orang lain yang telah teruji kebenarannya.

Sebagai seorang yang kreatif, ia selalu melemparkan gagasan-gagasan orisinal dalam bekerja, hanya saja ia kurang mampu menindaklanjuti gagasan-gagasannya tersebut karena kurang memiliki kemampuan dalam melakukan monitoring dan maintaining ide menjadi kenyataan, dalam hal ini ia memerlukan orang lain yang dapat membuat gagasannya tersebut menjadi kenyataan.

Pada dasarnya ia mampu menjadi pemimpin, hanya saja ia lebih suka menunggu dan melihat siapa yang maju terlebih dahulu. Dalam bekerja mengatasi persoalan, ia selalu menganalisa persoalan tersebut berdasarkan pengalaman-pengalaman masa lalu, dan akan mudah percaya terhadap orang yang sudah memiliki pengalaman tentang persoalan tersebut.

Dalam kondisi penuh tekanan, ia cenderung akan menjadi seorang yang tidak terorganisir dan seringkali mengeluarkan perkataan-perkataan yang menyakitkan hati.
",,,,,3
,Reformer," senang mengendalikan situasi dan mampu menjadi pemimpin. Ia dapat menyelesaikan tugasnya melalui keterampilan sosial yang dimiliki. Ia penuh perhatian dan menerima pendapat orang lain. Dalam bekerja, ia akan melibatkan dirinya secara penuh hingga pekerjaan tersebut tuntas dan akan meminta orang lain untuk membantunya bila diperlukan. Ia disukai dan orang-orang di sekelilingnya pun akan senang membantu, karena dirinya selalu memberikan ""kebahagiaan"" dan manfaat bagi tim. Ia bisa berperan sebagai anggota maupun pemimpin kelompok. Kebutuhan terbesarnya adalah popularitas dan pengakuan sosial.",,,,,,,1
,Specialist," adalah individu yang konsisten, tekun bekerja dalam lingkungan yang tidak berubah. Ia dapat bekerjasama dengan berbagai model perilaku karena mampu menampikan perilaku yang diharapkan. Ia adalah orang yang memperhatikan orang lain, sabar dan selalu bersedia membantu orang. Ia cenderung lambat dan selektif dalam membangun hubungan sosial dengan orang lain dalam lingkungan, ia tidak bosan dengan kondisi rutin dan akan menampilkan hasil yang maksimal asalkan ada panduan dan aturan yang sangat jelas dan dipahami olehnya dengan tepat."," senang membantu dan berdedikasi tinggi serta membutuhkan dukungan dari orang lain. Ia bisa diandalkan untuk mengerjakan sesuatu tugas dari awal hingga akhir karena komitmen yang tinggi. Ia kurang terbuka terhadap informasi kecuali dari orang yang sangat dipercayainya. Rasa memilikinya sangat besar baik terhadap pekerjaan maupun terhadap orang lain, hal ini juga yang merupakan ketakutan terbesarnya adalah hilangnya rasa aman. Ia banyak disukai orang karena sifatnya yang penuh simpati dan mampu berempati. 

Bila ditekan, ia akan menolak secara pasif. Ia lebih menggunakan logika daripada perasaan dalam membuat keputusan. Proses pengambilan keputusannya pun cukup lama. Begitu keputusan telah dibuat, ia akan terpaku pada keputusannya tersebut, bahkan cenderung menjadi 'keras kepala'. Ia sulit untuk berkata 'tidak' kepada orang lain karena ia selalu menginginkan kedamaian dan ketenangan tanpa konflik.",,,,,,2


lead_styles
D,Mengendalikan orang lain,Cepat bertidak,Percaya diri,Mencari perubahan,Persuasif,Kompetitif,Berani mengambil resiko,Memaksakan kehendak,Tidak pernah lelah,Menunjukkan sikap yang memiliki otoritas,Berkemauan keras,Cepat bergerak,Aktif dan Optimis,Ambisius,Ingin cepat mendapatkan hasil,Mengarahkan,Keinginannya kuat,17
I,Fleksibel,Senang melakukan hal-hal baru,Antusias,Taktis,Mudah menyesuaikan diri,Memiliki keterampilan sosial yang tinggi,Penuh inspirasi,Penuh humor dan menyenangkan,Inspirator,Komunikator,Membuat kesan yang menyenangkan,Keinginan untuk membantu orang lain,Senang menjalin kontak sosial,Antusias,Demonstratif,Persuasif,Optimis,17
S,Pemikir,Idealis,Percaya pada orang lain,Loyal,Mau membantu dan menolong,Menerima pendapat dan gagasan,Responsif,Kooperatif,Santai/ rileks,Mengakomodasi berbagai hal,Loyal,Konsisten,Sistematis,Perilakunya mudah diramalkan,Pendengar yang baik,Tulus,Empati yang tinggi,17
C,Tekun dan Ulet,Praktis,Penuh perhitungan,Menjaga jarak,Menyampaikan fakta,Selalu melakukan evaluasi dan monitoring,Analitis,Ketepatan,Kualitas,Rinci,Berpikir kritis,Hati-hati,Sistimatis,Cermat,Sensitif,Standar Tinggi,Perfectionist,17

karakteristik pekerjaan
C,Pekerjaan yang menuntut akurasi dan ketepatan,Menganalisa masalah secara mendalam,Pendekatan kritis dalam menyelesaikan masalah,Menjelaskan secara menyeluruh dan sistimatis tentang tugas,Mentaati prosedur operasi standar,Merancang dan mengembangkan program,Mengumpulkan informasi secara rinci,Melakukan evaluasi program,"Verifikasi, validasi dan pengendalian pekerjaan",,,,,,,,,9
D,Pekerjaan yang membutuhkan pengambilan keputusan secara cepat,Pekerjaan yang berorientasi kepada hasil,Pekerjaan yang kompetitif dan banyak tantangan,Bebas dari pekerjaan detail dan spesifik,Menggunakan kekuasaan dan wewenang,Mengambil suatu gagasan dan menjalankannya,Beragam kegiatan,Bebas dari pengawasan langsung,Memunculkan ide-ide baru,Mengkoordinir kegiatan,,,,,,,,10
I,Banyak berhubungan dengan orang lain,Pekerjaan yang memerlukan pendekatan persuasif,Melakukan verbalisasi yang inspiratif,Aktif dan mobilitas tinggi,Kesempatan untuk mempresentasikan konsep baru,Mengembangkan kegiatan baru yang berbeda,Pekerjaan yang cepat berubah-ubah,Pekerjaan yang melibatkan hubungan dengan orang lain,Melakukan pembinaan dan arahan kepada orang lain,Menangani keluhan pelanggan,,,,,,,,10
S,Pekerjaan yang menuntut kesabaran,Mengikuti prosedur baku,Klarifikasi kebijakan sebelum melangkah,"Mengumpulkan informasi, fakta dan data",Melakukan penyiapan bahan-bahan pendukung,Menyimpan dan memeliharan dokumen,Pekerjaan rutin dan administratif,"Melaksanakan, mengelola pekerjaan sesuai peraturan",Pekerjaan yang memerlukan konsistensi dalam jangka waktu panjang,,,,,,,,,9
